Session_id,User_id,Product_id,Interaction_type,Date_and_time,Duration,Ratings,Comments
465,225,135,View,2024-06-11 19:00:00,60,,,null
466,227,136,Purchase,2024-06-11 19:30:00,120,4,"Guinness Draught's creaminess is unmatched."
467,226,137,View,2024-06-12 20:00:00,60,,,null
468,228,138,Purchase,2024-06-12 20:30:00,180,5,"Coors Light is the perfect light beer for any occasion."
469,227,139,Purchase,2024-06-13 21:00:00,150,3,
470,229,140,Purchase,2024-06-13 21:30:00,120,4,"Pilsner Urquell's crisp taste is a classic."
471,228,141,View,2024-06-14 22:00:00,60,,,null
472,230,142,Purchase,2024-06-14 22:30:00,180,5,"Sierra Nevada Pale Ale's hoppy flavor is excellent."
473,229,143,Purchase,2024-06-15 23:00:00,150,4,
474,231,144,View,2024-06-15 23:30:00,60,,,null
475,230,145,Purchase,2024-06-16 24:00:00,180,3,"Dos Equis Amber Lager's smoothness is great for an evening."
476,232,146,Purchase,2024-06-16 24:30:00,120,5,"Modelo Especial's clean taste pairs well with meals."
477,231,147,View,2024-06-17 01:00:00,60,,,null
478,233,148,Purchase,2024-06-17 01:30:00,180,4,"Sapporo Premium Beer's crisp flavor is refreshingly good."
479,232,149,Purchase,2024-06-18 02:00:00,150,3,
480,234,150,Purchase,2024-06-18 02:30:00,120,5,"Peroni Nastro Azzurro is refreshingly crisp and light."
481,233,151,View,2024-06-19 03:00:00,60,,,null
482,235,152,Purchase,2024-06-19 03:30:00,180,4,"Red Stripe Lager's light taste is perfect for relaxation."
483,234,153,Purchase,2024-06-20 04:00:00,150,5,"Asahi Super Dry's dryness is uniquely satisfying."
484,236,154,View,2024-06-20 04:30:00,60,,,null
